Year,Month,Stations,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mch,Mfv,
1875,Jan,CHI,65.5,75.8,55.2,5.68,7,75,1,95,
1875,Jan,DAC,64.4,74.1,54.5,1.74,5,74,67,135,
1875,Jan,JES,63.4,75,53.7,2.66,5,76,14,43,
1875,Jan,CAL,66.4,74.8,59.8,1,1,75,50,297,
1875,Jan,SAU,67.9,74.5,60.3,0.35,3,75,5,54,
1875,Jan,BUR,64.8,74.5,54.7,1.42,6,68,11,244,
1875,Jan,BRH,63.6,74.9,54,2.24,4,70,0,11,
1875,Jan,PUR,59,71.6,48.5,0.68,2,NA,NA,NA,
1875,Jan,CUT,70.4,82.5,59.9,1.03,3,69,NA,NA,
1875,Feb,CHI,71.4,82.5,58.2,0,0,67,0,71,
1875,Feb,DAC,70.8,81.8,58.3,0.08,2,62,28,109,
1875,Feb,JES,69.8,83.9,56.2,0.12,3,65,10,30,
1875,Feb,CAL,72,82.2,63.5,0.23,1,62,54,263,
1875,Feb,SAU,72,80,63.1,0,0,71,4,43,
1875,Feb,BUR,70.5,82,58.8,0.17,2,59,89,195,
1875,Feb,BRH,69.3,82.6,57.6,0.51,2,70,0,12,
1875,Feb,PUR,66.4,80,52.2,0,0,NA,NA,NA,
1875,Feb,CUT,74.3,88.7,61.9,0,0,64,NA,NA,
1875,Mar,CHI,78.3,87.1,68.2,1.25,2,76,4,66,
1875,Mar,DAC,80,90.3,70.4,0.88,1,73,42,84,
1875,Mar,JES,NA,NA,NA,0.66,3,NA,12,37,
1875,Mar,CAL,81.7,91.8,74.5,0,0,73,148,214,
1875,Mar,SAU,81,84.8,77.5,0,0,81,45,43,
1875,Mar,BUR,82.4,95.4,71.2,1.92,2,59,38,126,
1875,Mar,BRH,80.3,95.5,68.7,0.2,2,62,0,12,
1875,Mar,PUR,75.8,91.5,61.7,0,0,NA,NA,NA,
1875,Mar,CUT,83.9,99,73.2,0.07,1,63,NA,NA,
1875,Apr,CHI,81.7,88.6,74.3,6.23,8,79,4,56,
1875,Apr,DAC,83.7,93,75.6,2.21,9,75,24,89,
1875,Apr,JES,83.8,97.6,75,2.71,7,67,8,37,
1875,Apr,CAL,85.4,95.6,78.1,3.94,4,73,93,233,
1875,Apr,SAU,83.7,87.6,80.1,2.3,4,82,29,59,
1875,Apr,BUR,85.4,99,75.5,7.77,9,62,16,197,
1875,Apr,BRH,85.5,102.2,74,1.67,6,53,0,10,
1875,Apr,PUR,84.7,98.9,72.2,0.51,1,NA,NA,NA,
1875,Apr,CUT,87.1,102.1,77.5,2.54,4,64,NA,NA,
1875,May,CHI,82.3,89.8,74.5,6.97,10,81,3,75,
1875,May,DAC,83.4,91.6,75.3,5.03,12,79,21,91,
1875,May,JES,82,94.5,74.5,5.42,11,75,1,17,
1875,May,CAL,84.3,92.9,77.3,5.48,14,76,49,275,
1875,May,SAU,85.1,89,80,6.19,8,79,19,69,
1875,May,BUR,84,94.8,75.9,5.31,15,71,1,167,
1875,May,BRH,82.6,97.8,74,4.25,8,67,0,8,
1875,May,PUR,79.3,91.8,66.9,4.71,10,0,NA,NA,
1875,May,CUT,86.5,98.7,78.6,3.32,8,69,NA,NA,
1875,Jun,CHI,81,86.3,76.4,33.02,26,88,1,71,
1875,Jun,DAC,83.1,87.9,78.2,21.85,24,88,7,77,
1875,Jun,JES,82.4,89.8,78.4,20.35,22,85,0,11,
1875,Jun,CAL,84,89.4,80.1,9.9,23,86,16,273,
1875,Jun,SAU,85,87.3,82.3,14.5,16,83,16,53,
1875,Jun,BUR,84.3,91.9,79.5,10.07,17,81,0,131,
1875,Jun,BRH,83.9,94.9,79.3,14.65,15,73,0,12,
1875,Jun,PUR,NA,NA,NA,8.95,18,NA,NA,NA,
1875,Jun,CUT,83.8,92.6,78.5,19.92,20,80,NA,NA,
1875,Jul,CHI,81,86.3,76.2,27.86,26,87,1,86,
1875,Jul,DAC,83.6,87.8,79.3,9.17,21,86,3,95,
1875,Jul,JES,82.5,88.9,78.6,10.25,23,86,0,16,
1875,Jul,CAL,83.2,87.8,80,13.49,25,87,25,246,
1875,Jul,SAU,83.2,85.8,80.4,20.02,20,86,3,70,
1875,Jul,BUR,84.1,90.1,79.9,6.69,18,82,0,149,
1875,Jul,BRH,84.2,91.5,80,5.2,14,75,0,25,
1875,Jul,PUR,NA,NA,NA,9.27,17,NA,NA,NA,
1875,Jul,CUT,82.2,88.7,78,27.19,23,83,NA,NA,
1875,Aug,CHI,80.8,87.3,75.7,38.63,19,88,3,60,
1875,Aug,DAC,83.1,87.4,78.6,11.95,13,87,0,94,
1875,Aug,JES,81.5,87.8,78,14.44,23,87,0,41,
1875,Aug,CAL,82.8,87.6,79.6,11.66,26,88,15,331,
1875,Aug,SAU,83.2,86.1,79.9,10.85,20,86,3,74,
1875,Aug,BUR,83.2,88.9,79.1,8.18,23,83,0,191,
1875,Aug,BRH,82.9,89.6,79.3,17.5,23,77,0,20,
1875,Aug,PUR,NA,NA,NA,14.95,22,NA,NA,NA,
1875,Aug,CUT,82.3,89.5,78,8.34,21,83,NA,NA,
1875,Sep,CHI,81.8,89.4,75.9,13.92,13,86,1,73,
1875,Sep,DAC,84.1,89.5,78.9,6.29,14,84,1,83,
1875,Sep,JES,82.3,89.6,78.1,6.49,18,84,0,45,
1875,Sep,CAL,82.8,87.9,79.7,8.16,23,87,30,282,
1875,Sep,SAU,82.7,86.3,79.4,12.1,21,86,3,81,
1875,Sep,BUR,82.8,89.4,78.9,13.4,25,84,0,157,
1875,Sep,BRH,83.8,91.2,79.4,6.56,16,76,0,30,
1875,Sep,PUR,82.8,92,77.3,5.09,9,NA,NA,NA,
1875,Sep,CUT,81.8,88.8,77.4,19.26,22,84,NA,NA,
1875,Oct,CHI,79.9,88.2,72,2.16,3,80,0,58,
1875,Oct,DAC,81,87.8,74.2,0.22,2,77,27,112,
