Year,Month,Met region,Station ,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mtotal,Mmille,Mch,Mfv
1875,Jan,South,MDR,76.60,87.70,66.50,0.00,0.00,68.00,,,,
1875,Jan,South Central,SLM,75.60,89.30,64.00,0.00,0.00,61.00,,,,
1875,Jan,South Central,CMB,72.80,87.10,62.00,0.04,1.00,61.00,,,,
1875,Jan,East Coast South,NGP,76.00,81.60,69.80,0.00,0.00,78.00,,,,
1875,Jan,East Coast South,TRC,75.80,88.00,66.70,0.05,1.00,69.00,,,,
1875,Jan,East Coast South,MDS,75.00,84.40,67.50,0.01,1.00,73.00,,,,
1875,Jan,East Coast Central,MSL,73.30,81.80,65.50,1.55,4.00,79.00,,,,
1875,Jan,Central,BLL,72.70,88.10,60.60,0.00,0.00,46.00,,,,
1875,Jan,East Coast North,VZG,74.80,77.90,71.20,0.10,1.00,67.00,,,,
1875,Feb,South,MDR,78.20,91.10,66.20,0.00,0.00,61.00,,,,
1875,Feb,South Central,SLM,78.40,93.00,65.70,0.00,0.00,54.00,,,,
1875,Feb,South Central,CMB,75.60,90.40,63.70,0.00,0.00,53.00,,,,
1875,Feb,East Coast South,NGP,77.40,83.00,70.90,0.03,1.00,71.00,,,,
1875,Feb,East Coast South,TRC,78.10,91.00,67.70,0.00,0.00,64.00,,,,
1875,Feb,East Coast South,MDS,76.50,86.00,68.00,0.00,0.00,70.00,,,,
1875,Feb,East Coast Central,MSL,75.30,83.70,66.40,0.00,0.00,76.00,,,,
1875,Feb,Central,BLL,77.00,92.70,64.40,0.00,0.00,40.00,,,,
1875,Feb,East Coast North,VZG,76.40,79.70,72.00,0.10,1.00,56.00,,,,
1875,Mar,South,MDR,83.30,98.40,71.60,0.00,0.00,56.00,,,,
1875,Mar,South Central,SLM,84.30,99.20,72.60,1.13,2.00,52.00,,,,
1875,Mar,South Central,CMB,80.70,96.10,69.40,0.99,3.00,58.00,,,,
1875,Mar,East Coast South,NGP,82.10,89.10,76.40,0.00,0.00,75.00,,,,
1875,Mar,East Coast South,TRC,84.60,98.60,74.30,0.00,0.00,58.00,,,,
1875,Mar,East Coast South,MDS,80.20,89.70,72.50,1.18,1.00,76.00,,,,
1875,Mar,East Coast Central,MSL,80.60,90.30,72.80,1.08,1.00,78.00,,,,
1875,Mar,Central,BLL,84.20,100.60,71.10,0.34,1.00,31.00,,,,
1875,Mar,East Coast North,VZG,82.30,85.60,79.30,0.00,0.00,69.00,,,,
1875,Apr,South,MDR,84.40,98.40,73.90,0.32,4.00,58.00,,,,
1875,Apr,South Central,SLM,85.30,99.50,74.40,5.99,8.00,57.00,,,,
1875,Apr,South Central,CMB,82.00,96.10,72.30,1.37,4.00,64.00,,,,
1875,Apr,East Coast South,NGP,85.00,94.00,78.90,0.16,4.00,73.00,,,,
1875,Apr,East Coast South,TRC,87.50,100.90,77.70,0.92,2.00,55.00,,,,
1875,Apr,East Coast South,MDS,84.30,93.80,77.60,0.76,1.00,73.00,,,,
1875,Apr,East Coast Central,MSL,84.80,94.70,77.80,0.62,2.00,75.00,,,,
1875,Apr,Central,BLL,89.10,104.30,77.30,0.00,0.00,32.00,,,,
1875,Apr,East Coast North,VZG,86.10,88.90,83.30,0.00,0.00,70.00,,,,
1875,May,South,MDR,84.50,98.90,74.80,3.09,3.00,62.00,,,,
1875,May,South Central,SLM,84.40,99.20,75.40,3.91,14.00,63.00,,,,
1875,May,South Central,CMB,80.90,93.70,72.50,2.64,6.00,69.00,,,,
1875,May,East Coast South,NGP,85.90,98.30,79.70,1.97,5.00,69.00,,,,
1875,May,East Coast South,TRC,88.40,102.90,79.40,0.64,3.00,53.00,,,,
1875,May,East Coast South,MDS,87.00,99.10,80.60,0.07,2.00,64.00,,,,
