Year,Month,Met region,Station ,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mch,Mfv
1875,Jan,Central,DLH,55.2,77.1,42,0.1,1,NA,1,927
1875,Jan,Central,LAH,54.8,72.9,38.8,0,0,56,0,1443
1875,Jan,Submontane,LDH,51.9,73.7,34.6,0,0,NA,0,587
1875,Jan,North,SLK,52.7,74.4,38,0,0,NA,0,1042
1875,Jan,North,RWL,47.4,68.5,33.1,0.3,3,NA,0,1181
1875,Jan,West,PSH,NA,NA,NA,0,0,NA,0,340
1875,Jan,West,DIK,48.9,71.8,30.8,0,0,NA,0,778
1875,Jan,West,MLT,54.3,74.3,37.8,0,0,NA,0,1108
1875,Jan,West,SRS,NA,NA,NA,0,0,NA,0,205
1875,Feb,Central,DLH,58.7,82.5,46.7,1.2,3,NA,0,831
1875,Feb,Central,LAH,59.5,72.2,45.6,2.1,4,63,0,1010
1875,Feb,Submontane,LDH,57.6,75.4,44.9,1.6,3,NA,0,531
1875,Feb,North,SLK,55.2,72,44.5,2.1,5,NA,0,959
1875,Feb,North,RWL,49.3,65.8,40,2.6,7,NA,0,1134
1875,Feb,West,PSH,NA,NA,NA,3.3,4,NA,1,276
1875,Feb,West,DIK,52.5,69.5,40,3.3,4,NA,0,637
1875,Feb,West,MLT,56.5,75.7,44.6,0,0,NA,0,729
1875,Feb,West,SRS,NA,NA,NA,0.5,2,NA,0,199
1875,Mar,Central,DLH,75.6,96.6,60.8,0,0,NA,0,684
1875,Mar,Central,LAH,75.3,92.9,58.3,0,0,44,1,757
1875,Mar,Submontane,LDH,72.3,94.9,54.8,0,0,NA,1,364
1875,Mar,North,SLK,70.7,93.1,55.6,0,0,NA,0,658
1875,Mar,North,RWL,64.3,86.4,51.1,1.1,2,NA,0,902
1875,Mar,West,PSH,NA,NA,NA,1.4,2,NA,0,235
1875,Mar,West,DIK,70.2,93.8,52.7,0.5,1,NA,0,452
1875,Mar,West,MLT,75.4,95.7,58.4,0,0,NA,0,576
1875,Mar,West,SRS,NA,NA,NA,0,0,NA,0,212
1875,Apr,Central,DLH,85.1,106.6,70.4,0,0,NA,0,955
1875,Apr,Central,LAH,86.6,106.2,68.8,0,0,38,1,707
1875,Apr,Submontane,LDH,84,108.2,66.7,0,0,NA,1,611
1875,Apr,North,SLK,83.3,107.1,67.8,0,0,NA,0,633
1875,Apr,North,RWL,75.7,101.5,61.2,0.2,1,NA,0,696
1875,Apr,West,PSH,NA,NA,NA,0,0,NA,0,305
1875,Apr,West,DIK,81,105.2,62.5,0,0,NA,0,371
1875,Apr,West,MLT,85.1,106.5,68,0,0,NA,0,604
1875,Apr,West,SRS,NA,NA,NA,0,0,NA,0,206
1875,May,Central,DLH,87,108.4,73.5,0.5,2,NA,12,966
1875,May,Central,LAH,89.9,108,75.3,1,1,35,1,844
1875,May,Submontane,LDH,87.2,108.8,73.8,1.7,4,NA,0,463
1875,May,North,SLK,86.6,109,73.3,0.4,1,NA,0,931
1875,May,North,RWL,83.8,105.4,72.7,1.4,4,NA,0,679
1875,May,West,PSH,NA,NA,NA,0.8,1,NA,0,413
1875,May,West,DIK,86.8,109.6,69.5,0,0,NA,1,488
1875,May,West,MLT,91.8,111.6,76.4,0.6,1,NA,0,698
1875,May,West,SRS,NA,NA,NA,0.4,2,NA,0,187
1875,Jun,Central,DLH,93.9,113.4,82.5,0.4,1,NA,65,949
1875,Jun,Central,LAH,94.7,114.4,81.9,0.9,1,39,1,682
1875,Jun,Submontane,LDH,93.9,113.3,81.1,0.3,1,43,0,489
1875,Jun,North,SLK,93.5,115.1,79.9,0.6,2,NA,0,761
1875,Jun,North,RWL,92.5,112,82.1,0.9,5,30,1,550
1875,Jun,West,PSH,NA,NA,NA,0,0,NA,0,319
1875,Jun,West,DIK,95,116.7,77.6,0,0,NA,0,324
1875,Jun,West,MLT,97.3,116.1,83.3,0,0,NA,0,574
1875,Jun,West,SRS,NA,NA,NA,0.3,1,NA,3,178
1875,Jul,Central,DLH,88.2,101.8,80.3,3.4,7,NA,34,708
1875,Jul,Central,LAH,90.6,104.6,83.1,3.2,,63,1,743
1875,Jul,Submontane,LDH,88.2,102.6,81.1,4.4,8,67,30,559
