Year,Month,Met region,Station ,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mch,Mfv,,
1875,Jan,SIND,JAC,n/a,n/a,n/a,0,0,n/a,0,91,,
1875,Jan,,SHI,n/a,n/a,n/a,0,0,n/a,0,739,,
1875,Jan,,HYD,n/a,n/a,n/a,0,0,n/a,0,709,,
1875,Jan,,KAR,64.1,76.9,52.6,0.05,1,57,0,446,,
1875,Feb,,JAC,n/a,n/a,n/a,0.82,n/a,n/a,0,37,,
1875,Feb,,SHI,n/a,n/a,n/a,0.82,n/a,n/a,0,656,,
1875,Feb,,HYD,n/a,n/a,n/a,0,0,n/a,0,652,,
1875,Feb,,KAR,64.5,76.3,54.7,0.41,5,54,0,399,,
1875,Mar,,JAC,n/a,n/a,n/a,0,0,n/a,0,65,,
1875,Mar,,SHI,n/a,n/a,n/a,0,0,n/a,0,475,,
1875,Mar,,HYD,n/a,n/a,n/a,0,0,n/a,0,527,,
1875,Mar,,KAR,75.4,86.9,68.3,0,0,70,0,312,,
1875,Apr,,JAC,n/a,n/a,n/a,0,0,n/a,0,36,,
1875,Apr,,SHI,n/a,n/a,n/a,0,0,n/a,0,418,,
1875,Apr,,HYD,n/a,n/a,n/a,0,0,n/a,0,337,,
1875,Apr,,KAR,79.6,90.1,73.1,0,0,63,0,230,,
1875,May,,JAC,n/a,n/a,n/a,0,0,n/a,0,30,,
1875,May,,SHI,n/a,n/a,n/a,0,0,n/a,0,416,,
1875,May,,HYD,n/a,n/a,n/a,0.2,1,n/a,0,242,,
1875,May,,KAR,83.9,93,78.3,0,0,68,0,200,,
1875,Jun,,JAC,n/a,n/a,n/a,0,0,n/a,0,49,,
1875,Jun,,SHI,n/a,n/a,n/a,0,0,n/a,0,350,,
1875,Jun,,HYD,n/a,n/a,n/a,0,0,n/a,0,250,,
1875,Jun,,KAR,86.7,95,82.7,0,0,68,0,204,,
1875,Jul,,JAC,n/a,n/a,n/a,1.17,n/a,n/a,0,22,,
1875,Jul,,SHI,n/a,n/a,n/a,1.17,n/a,n/a,0,283,,
1875,Jul,,HYD,n/a,n/a,n/a,10.98,n/a,n/a,0,209,,
1875,Jul,,KAR,80.4,87.2,79.2,3.74,11,79,0,159,,
1875,Aug,,JAC,n/a,n/a,n/a,0,0,n/a,0,24,,
1875,Aug,,SHI,n/a,n/a,n/a,0,0,n/a,0,286,,
1875,Aug,,HYD,n/a,n/a,n/a,0,0,n/a,0,250,,
1875,Aug,,KAR,79.6,86.6,77.7,0.1,2,75,0,221,,
1875,Sep,,JAC,n/a,n/a,n/a,0.82,n/a,n/a,0,33,,
1875,Sep,,SHI,n/a,n/a,n/a,0.82,n/a,n/a,0,376,,
1875,Sep,,HYD,n/a,n/a,n/a,0.16,n/a,n/a,0,296,,
1875,Sep,,KAR,81,88.8,78.3,2.7,1,74,0,190,,
1875,Oct,,JAC,n/a,n/a,n/a,0,0,n/a,0,54,,
1875,Oct,,SHI,n/a,n/a,n/a,0,0,n/a,0,596,,
1875,Oct,,HYD,n/a,n/a,n/a,0,0,n/a,0,320,,
1875,Oct,,KAR,77.1,90.5,68.2,0,0,61,0,258,,
1875,Nov,,JAC,n/a,n/a,n/a,0.51,n/a,n/a,0,68,,
1875,Nov,,SHI,n/a,n/a,n/a,0.51,n/a,n/a,0,906,,
1875,Nov,,HYD,n/a,n/a,n/a,0.44,n/a,n/a,0,493,,
1875,Nov,,KAR,72.5,87.5,65.1,1.38,4,56,17,422,,
1875,Dec,,JAC,n/a,n/a,n/a,0.07,1,n/a,0,92,,
1875,Dec,,SHI,n/a,n/a,n/a,0.07,1,n/a,0,796,,
1875,Dec,,HYD,n/a,n/a,n/a,0,0,n/a,0,628, ,
1875,Dec,,KAR,66.1,77.9,57.1,1.13,2,58,25,518,,
1876,Jan,SIND,JAC,n/a,n/a,n/a,0.2,n/a,n/a,0,119,,
1876,Jan,,SHI,n/a,n/a,n/a,0.2,n/a,n/a,0,722,,
1876,Jan,,HYD,n/a,n/a,n/a,0.17,n/a,n/a,0,733,,
1876,Jan,,KAR,65.2,76.6,54.4,0,0,52,0,496,,
1876,Feb,,JAC,n/a,n/a,n/a,0.02,1,n/a,0,56,,
1876,Feb,,SHI,n/a,n/a,n/a,0.02,1,n/a,0,693,,
1876,Feb,,HYD,n/a,n/a,n/a,0,0,n/a,0,620,,
1876,Feb,,KAR,69.9,79.3,58.3,0.06,1,54,0,441,,
1876,Mar,,JAC,n/a,n/a,n/a,0.26,n/a,n/a,0,77,,
1876,Mar,,SHI,n/a,n/a,n/a,0.26,n/a,n/a,0,638,,
1876,Mar,,HYD,n/a,n/a,n/a,0.06,1,n/a,0,429,,
1876,Mar,,KAR,78.1,83.9,68.5,0.07,1,58,0,357,,
1876,Apr,,JAC,n/a,n/a,n/a,0,0,n/a,0,59,,
1876,Apr,,SHI,n/a,n/a,n/a,0,0,n/a,0,469,,
1876,Apr,,HYD,n/a,n/a,n/a,0,0,n/a,0,349,,
1876,Apr,,KAR,81.5,91.5,71.6,0,0,51,0,295,,
1876,May,,JAC,n/a,n/a,n/a,0,0,n/a,0,50,,
1876,May,,SHI,n/a,n/a,n/a,0,0,n/a,0,416,,
1876,May,,HYD,n/a,n/a,n/a,0,0,n/a,0,336,,
1876,May,,KAR,86.4,95.3,79,0,0,65,0,213,,
1876,Jun,,JAC,n/a,n/a,n/a,0.09,1,n/a,0,38,,
1876,Jun,,SHI,n/a,n/a,n/a,0.09,1,n/a,0,342,,
1876,Jun,,HYD,n/a,n/a,n/a,0,0,n/a,0,261,,
1876,Jun,,KAR,87.3,93.4,82.2,0,0,67,0,214,,
1876,Jul,,JAC,n/a,n/a,n/a,3.91,n/a,n/a,0,47,,
1876,Jul,,SHI,n/a,n/a,n/a,3.91,n/a,n/a,0,262,,
1876,Jul,,HYD,n/a,n/a,n/a,5.28,n/a,n/a,0,214,,
1876,Jul,,KAR,84.5,89.3,81.7,4,5,77,0,182,,
1876,Aug,,JAC,n/a,n/a,n/a,1.71,n/a,n/a,0,27,,
1876,Aug,,SHI,n/a,n/a,n/a,1.71,n/a,n/a,0,277,,
1876,Aug,,HYD,n/a,n/a,n/a,3.17,n/a,n/a,0,225,,
1876,Aug,,KAR,82.1,86.3,79,1.24,5,75,0,252,,
1876,Sep,,JAC,n/a,n/a,n/a,0,0,n/a,0,40,,
1876,Sep,,SHI,n/a,n/a,n/a,0,0,n/a,0,419,,
1876,Sep,,HYD,n/a,n/a,n/a,0,0,n/a,0,374,,
1876,Sep,,KAR,81.9,87.3,77.2,0,0,74,0,301,,
1876,Oct,,JAC,n/a,n/a,n/a,0,0,n/a,0,98,,
1876,Oct,,SHI,n/a,n/a,n/a,0,0,n/a,0,867,,
1876,Oct,,HYD,n/a,n/a,n/a,0,0,n/a,0,640,,
1876,Oct,,KAR,78.5,87.9,71.4,0,0,64,0,494,,
1876,Nov,,JAC,n/a,n/a,n/a,0.39,n/a,n/a,0,109,,
1876,Nov,,SHI,n/a,n/a,n/a,0.39,n/a,n/a,0,1070,,
1876,Nov,,HYD,n/a,n/a,n/a,0,0,n/a,0,904,,
1876,Nov,,KAR,72.2,84.3,63.9,0.03,2,64,0,807,,
1876,Dec,,JAC,n/a,n/a,n/a,0.03,1,n/a,0,96,,
1876,Dec,,SHI,n/a,n/a,n/a,0.03,1,n/a,0,830,,
1876,Dec,,HYD,n/a,n/a,n/a,0,0,n/a,0,970,,
1876,Dec,,KAR,69.2,81.5,57.1,0,0,51,0,859,,
1877,Jan,SIND,JAC,n/a,n/a,n/a,0,0,n/a,0,75,,
1877,Jan,,SHI,n/a,n/a,n/a,0,0,n/a,0,762,,
1877,Jan,,HYD,n/a,n/a,n/a,0,0,n/a,0,888,,
1877,Jan,,KAR,64.9,76.2,54.9,0,0,53,0,659,,
1877,Feb,,JAC,n/a,n/a,n/a,0.07,1,n/a,0,72,,
1877,Feb,,SHI,n/a,n/a,n/a,0.07,1,n/a,0,562,,
1877,Feb,,HYD,n/a,n/a,n/a,0.43,n/a,n/a,0,837,,
1877,Feb,,KAR,68.6,79.2,58,1.58,3,55,0,610,,
1877,Mar,,JAC,73.5,89.8,59.9,0,0,58,0,74,,
1877,Mar,,SHI,73.5,89.8,59.9,0,0,58,0,584,,
1877,Mar,,HYD,n/a,n/a,n/a,0.03,1,n/a,0,903,,
1877,Mar,,KAR,77.3,85.2,69.1,0.08,1,69,0,571,,
1877,Apr,,JAC,78.6,92.4,67.5,0.2,n/a,66,0,52,,
1877,Apr,,SHI,78.6,92.4,67.5,0.2,n/a,66,0,526,,
1877,Apr,,HYD,n/a,n/a,n/a,0.55,n/a,n/a,0,657,,
1877,Apr,,KAR,80.1,87.7,73.8,0.22,2,74,0,444,,
1877,May,,JAC,88.5,105,74.8,0,0,59,0,62,,
1877,May,,SHI,88.5,105,74.8,0,0,59,0,483,,
1877,May,,HYD,n/a,n/a,n/a,0,0,n/a,0,539,,
1877,May,,KAR,86.2,92.9,79.9,0,0,69,0,400,,
1877,Jun,,JAC,95.1,110.2,82.3,0,0,n/a,0,46,,
1877,Jun,,SHI,95.1,110.2,82.3,0,0,n/a,0,402,,
1877,Jun,,HYD,91.9,105.3,81.6,0,0,n/a,0,377,,
1877,Jun,,KAR,87.3,92.7,83.1,0,0,73,0,305,,
1877,Jul,,JAC,93.8,107.3,82,0,0,54,0,43,,
1877,Jul,,SHI,93.8,107.3,82,0,0,54,0,427,,
1877,Jul,,HYD,88.8,n/a,81,0,0,61,0,310,,
1877,Jul,,KAR,85.7,90.6,82.1,0,0,70,0,275,,
1877,Aug,,JAC,92.4,107,79.6,0,0,52,0,43,,
1877,Aug,,SHI,92.4,107,79.6,0,0,52,0,410,,
1877,Aug,,HYD,87.4,n/a,78.6,0,0,63,0,376,,
1877,Aug,,KAR,83.5,89,79.7,0,0,71,0,276,,
1877,Sep,,JAC,86.2,101.3,74.8,0.95,n/a,58,0,34,,
1877,Sep,,SHI,86.2,101.3,74.8,0.95,n/a,58,0,444,,
1877,Sep,,HYD,86.2,n/a,77,2.39,n/a,72,0,422,,
1877,Sep,,KAR,83,89.6,78,0.16,2,74,0,272,,
1877,Oct,,JAC,76.8,94.8,64.9,0,0,56,0,38,,
1877,Oct,,SHI,76.8,94.8,64.9,0,0,56,0,598,,
1877,Oct,,HYD,82.9,95.5,71.2,0,0,n/a,0,493,,
1877,Oct,,KAR,80.9,92.7,71.7,0,0,55,0,455,,
1877,Nov,,JAC,68.9,84,59,0.86,n/a,64,0,42,,
1877,Nov,,SHI,68.9,84,59,0.86,n/a,64,0,610,,
1877,Nov,,HYD,77,89.7,66.5,0,0,68,0,597,,
1877,Nov,,KAR,75.9,87.7,67.6,0.02,1,63,0,488,,
1877,Dec,,JAC,61,71,46.2,0.51,n/a,60,0,51,,
1877,Dec,,SHI,61,71,46.2,0.51,n/a,60,0,586,,
1877,Dec,,HYD,62.8,75.3,52.1,0,0,61,0,729,,
1877,Dec,,KAR,66.4,76.9,56.2,0.03,2,65,0,595,,
1878,Jan,SIND,JAC,54.1,70.2,40.3,0.05,2,48,0,53,,
1878,Jan,,SHI,54.1,70.2,40.3,0.05,2,48,0,540,,
1878,Jan,,HYD,59.9,74.3,46.9,0,0,57,0,713,,
1878,Jan,,KAR,62,74.3,50.3,0.29,2,53,0,694,,
1878,Feb,,JAC,63,75.9,51.8,0.58,9,52,0,48,,
1878,Feb,,SHI,63,75.9,51.8,0.58,9,52,0,519,,
1878,Feb,,HYD,68.2,80.4,58.1,0.12,3,60,0,742,,
1878,Feb,,KAR,69.3,78.4,60.8,0.31,3,66,0,654,,
1878,Mar,,JAC,76.4,93.7,62.2,0,0,39,0,43,,
1878,Mar,,SHI,76.4,93.7,62.2,0,0,39,0,411,,
1878,Mar,,HYD,80.6,96.4,66.2,0.11,1,59,0,598,,
1878,Mar,,KAR,77.2,86.8,67,0,0,68,0,524,,
1878,Apr,,JAC,82.4,99.1,68.3,0.1,3,42,0,49,,
1878,Apr,,SHI,82.4,99.1,68.3,0.1,3,42,0,400,,
1878,Apr,,HYD,84.9,99.8,72,0,0,53,0,472,,
1878,Apr,,KAR,80,88.8,71.5,0,0,67,0,376,,
1878,May,,JAC,91.3,107.8,78.1,0.08,1,41,0,37,,
1878,May,,SHI,91.3,107.8,78.1,0.08,1,41,0,408,,
1878,May,,HYD,90.6,106.6,78.9,0.2,2,52,0,373,,
1878,May,,KAR,85.5,92.8,79.6,0,0,74,0,288,,
1878,Jun,,JAC,96.1,111.8,83,0.03,1,36,0,37,,
1878,Jun,,SHI,96.1,111.8,83,0.03,1,36,0,355,,
1878,Jun,,HYD,92,105.4,82.1,0.15,2,55,0,284,,
1878,Jun,,KAR,87.9,94.7,82.6,0.07,1,73,0,220,,
1878,Jul,,JAC,94.9,108.2,85.6,2.72,6,51,0,36,,
1878,Jul,,SHI,94.9,108.2,85.6,2.72,6,51,0,458,,
1878,Jul,,HYD,90.1,101.5,82.7,4.31,8,62,0,278,,
1878,Jul,,KAR,86.4,92.6,82,11.25,7,74,0,233,,
1878,Aug,,JAC,87,95.6,82.1,7.88,13,74,0,24,,
1878,Aug,,SHI,87,95.6,82.1,7.88,13,74,0,303,,
1878,Aug,,HYD,84,91.7,79.1,11.56,13,77,0,289,,
1878,Aug,,KAR,82.7,87.9,79.5,11.26,15,83,0,306,,
1878,Sep,,JAC,89.7,100.7,81.3,0,0,61,0,68,,
1878,Sep,,SHI,89.7,100.7,81.3,0,0,61,0,549,,
1878,Sep,,HYD,88.3,99.7,80.2,0,0,62,0,607,,
1878,Sep,,KAR,86,92.3,80.5,0.65,2,73,0,467,,
1878,Oct,,JAC,80.1,95.7,68.1,0,0,54,0,70,,
1878,Oct,,SHI,80.1,95.7,68.1,0,0,54,0,805,,
1878,Oct,,HYD,84.7,98.7,72.6,0,0,51,0,1136,,
1878,Oct,,KAR,82.6,93.5,74.2,0,0,61,0,540,,
1878,Nov,,JAC,62.7,83.3,47.3,0,0,52,0,78,,
1878,Nov,,SHI,62.7,83.3,47.3,0,0,52,0,1007,,
1878,Nov,,HYD,70.3,86.3,56.4,0,0,55,0,1430,,
1878,Nov,,KAR,71.5,86.9,58.3,0,0,49,0,730,,
1878,Dec,,JAC,54.9,74.4,38.8,0,0,49,0,59,,
1878,Dec,,SHI,54.9,74.4,38.8,0,0,49,0,762,,
1878,Dec,,HYD,61.2,75.8,47.9,0,0,54,0,1360,,
1878,Dec,,KAR,64.5,78.3,51.2,0,0,62,0,791,,
1879,Jan,SIND,JAC,56.9,75.9,41.4,0,0,46,0,73,,
1879,Jan,,SHI,56.9,75.9,41.4,0,0,46,0,625,,
1879,Jan,,HYD,62.6,78.2,48.7,0,0,50,0,1174,,
1879,Jan,,KAR,64.8,78.7,52,0,0,58,0,655,,
1879,Feb,,JAC,64,81.2,48.9,0,0,39,0,62,,
1879,Feb,,SHI,64,81.2,48.9,0,0,39,0,563,,
1879,Feb,,HYD,68.6,83.2,55.3,0,0,48,0,965,,
1879,Feb,,KAR,73.4,81.9,56.2,0,0,49,0,509,,
1879,Mar,,JAC,67.8,82.6,55.1,0.68,3,49,0,65,,
1879,Mar,,SHI,67.8,82.6,55.1,0.68,3,49,0,404,,
1879,Mar,,HYD,73.4,87.4,61.2,0.2,2,46,0,882,,
1879,Mar,,KAR,73.7,82.1,64.8,1,3,66,0,396,,
1879,Apr,,JAC,81.8,100.9,65.1,0,0,31,0,52,,
1879,Apr,,SHI,81.8,100.9,65.1,0,0,31,0,362,,
1879,Apr,,HYD,85.4,102.6,70.5,0.32,1,51,0,557,,
1879,Apr,,KAR,80.3,90.7,71,0,0,65,0,413,,
1879,May,,JAC,88.8,107.7,73,0,0,31,8,22,,
1879,May,,SHI,88.8,107.7,73,0,0,31,204,477,,
1879,May,,HYD,92.6,109.1,78,0,0,39,380,511,,
1879,May,,KAR,87.6,98.2,77.9,0,0,65,219,440,,
1879,Jun,,JAC,92.9,106.8,81.2,0.18,1,49,85,38,,
1879,Jun,,SHI,92.9,106.8,81.2,0.18,1,49,673,415,,
1879,Jun,,HYD,89.7,101.4,81,0.7,2,57,909,319,,
1879,Jun,,KAR,86.1,92.7,81.8,0.04,2,74,607,369,,
1879,Jul,,JAC,92.9,106.4,81.4,0,0,54,6,28,,
1879,Jul,,SHI,92.9,106.4,81.4,0,0,54,133,278,,
1879,Jul,,HYD,86.8,98.9,78.4,1.52,2,59,144,202,,
1879,Jul,,KAR,82.7,88.8,78.6,0,0,75,322,328,,
1879,Aug,,JAC,90.8,103.3,81.8,0.45,4,59,0,33,,
1879,Aug,,SHI,90.8,103.3,81.8,0.45,4,59,37,243,,
1879,Aug,,HYD,86.1,97.2,78.7,0.55,3,63,0,262,,
1879,Aug,,KAR,8,88.4,77.8,0.87,7,76,26,270,,
